region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Alberta,2022-03-20,,estimate,-0.0371201287857897,-0.0366901968121051,0.069619822978743,-0.150939187077777,-0.0837340623185743,-0.0519288368712213,-0.0203055689903459,0.00939301191662096,0.0777008887318515
Alberta,2022-03-21,,estimate,-0.0371132651435302,-0.0360350413158621,0.0774657824302632,-0.160067225754737,-0.0878535461668144,-0.0541399388607961,-0.0193589114216193,0.0157423031918617,0.0910470297816555
Alberta,2022-03-22,,estimate based on partial data,-0.0376736618044667,-0.0346890356493157,0.0866598115845793,-0.171470503529424,-0.0939274954472049,-0.0570540651190497,-0.0163677850435471,0.0216437180467181,0.108825454447012
Alberta,2022-03-23,,estimate based on partial data,-0.0388038857093452,-0.0326480999367072,0.0971893588822941,-0.18338988973143,-0.0998162806683015,-0.0601921404962903,-0.012707537300313,0.0301605037875362,0.130887895205773
Alberta,2022-03-24,,estimate based on partial data,-0.0386358289937757,-0.0299116302158312,0.109070342198944,-0.194817761131406,-0.105238163010686,-0.0630932999484446,-0.0109461840785871,0.0384908770617757,0.152050038040946
Alberta,2022-03-25,,estimate based on partial data,-0.0379794774479483,-0.02648167520443,0.122340504117305,-0.204850845047213,-0.111143793185898,-0.0658962108783724,-0.00891339284058141,0.0454175909392063,0.187616128779041
Alberta,2022-03-26,,estimate based on partial data,-0.0404636473238741,-0.0223644922853452,0.137046417231827,-0.214612047613868,-0.113556405792063,-0.0677223225520678,-0.0051285066232506,0.0552136900774393,0.217843295142863
Alberta,2022-03-27,,estimate based on partial data,-0.0396245988236946,-0.0175727486796417,0.153231320414136,-0.225894404636965,-0.118846622304919,-0.0690870070627389,-0.00303941235232472,0.064735599128133,0.255705724695768
Alberta,2022-03-28,,estimate based on partial data,-0.0369328138585891,-0.0121263881358312,0.17092605299154,-0.234182731474265,-0.12507352036345,-0.0719290859825772,-0.000241604017613072,0.0719351984892765,0.296199300126777
Alberta,2022-03-29,,estimate based on partial data,-0.0379816398782387,-0.00605122371456728,0.190143341807045,-0.244599243083497,-0.130573443395576,-0.074861489644172,0.00225420346911689,0.0817329569973592,0.337019411219006
Alberta,2022-03-30,,estimate based on partial data,-0.0383915331151317,0.000624049808809254,0.210874688218613,-0.252732001791406,-0.135038836474235,-0.0771003475722635,0.0046588763576916,0.0939902468515936,0.389918269024076
Alberta,2022-03-31,,estimate based on partial data,-0.0393976993731001,0.00787049244409683,0.233087118567933,-0.259160048472227,-0.139874705698548,-0.0781236419939905,0.0109074838308287,0.101491135649472,0.439975677371928
Alberta,2022-04-01,,forecast,-0.0393976993731001,0.00787049244409683,0.233087118567933,-0.259160048472227,-0.139874705698548,-0.0781236419939905,0.0109074838308287,0.101491135649472,0.439975677371928
