date,confirm,region
2022-02-13,978,Manitoba
2022-02-13,266,New Brunswick
2022-02-13,237,Newfoundland and Labrador
2022-02-13,0,Northwest Territories
2022-02-13,243,Nova Scotia
2022-02-13,0,Nunavut
2022-02-13,2265,Ontario
2022-02-13,203,Prince Edward Island
2022-02-13,1870,Quebec
2022-02-13,0,Repatriated Travellers
2022-02-13,0,Saskatchewan
2022-02-13,0,Yukon
2022-02-14,635,Alberta
2022-02-14,667,British Columbia
2022-02-14,188,Manitoba
2022-02-14,190,New Brunswick
2022-02-14,174,Newfoundland and Labrador
2022-02-14,335,Northwest Territories
2022-02-14,158,Nova Scotia
2022-02-14,120,Nunavut
2022-02-14,1765,Ontario
2022-02-14,101,Prince Edward Island
2022-02-14,1431,Quebec
2022-02-14,0,Repatriated Travellers
2022-02-14,0,Saskatchewan
2022-02-14,37,Yukon
2022-02-15,838,Alberta
2022-02-15,246,British Columbia
2022-02-15,384,Manitoba
2022-02-15,276,New Brunswick
2022-02-15,213,Newfoundland and Labrador
2022-02-15,98,Northwest Territories
2022-02-15,226,Nova Scotia
2022-02-15,29,Nunavut
2022-02-15,1593,Ontario
2022-02-15,158,Prince Edward Island
2022-02-15,1973,Quebec
2022-02-15,0,Repatriated Travellers
2022-02-15,0,Saskatchewan
2022-02-15,0,Yukon
2022-02-16,888,Alberta
2022-02-16,750,British Columbia
2022-02-16,338,Manitoba
2022-02-16,305,New Brunswick
2022-02-16,179,Newfoundland and Labrador
2022-02-16,131,Northwest Territories
2022-02-16,223,Nova Scotia
2022-02-16,43,Nunavut
2022-02-16,2532,Ontario
2022-02-16,289,Prince Edward Island
2022-02-16,2328,Quebec
2022-02-16,0,Repatriated Travellers
2022-02-16,0,Saskatchewan
2022-02-16,10,Yukon
2022-02-17,813,Alberta
2022-02-17,657,British Columbia
2022-02-17,415,Manitoba
2022-02-17,321,New Brunswick
2022-02-17,316,Newfoundland and Labrador
2022-02-17,80,Northwest Territories
2022-02-17,242,Nova Scotia
2022-02-17,35,Nunavut
2022-02-17,2327,Ontario
2022-02-17,310,Prince Edward Island
2022-02-17,2055,Quebec
2022-02-17,0,Repatriated Travellers
2022-02-17,0,Saskatchewan
2022-02-17,12,Yukon
2022-02-18,619,Alberta
2022-02-18,692,British Columbia
2022-02-18,339,Manitoba
2022-02-18,254,New Brunswick
2022-02-18,234,Newfoundland and Labrador
2022-02-18,98,Northwest Territories
2022-02-18,320,Nova Scotia
2022-02-18,50,Nunavut
2022-02-18,2337,Ontario
2022-02-18,235,Prince Edward Island
2022-02-18,1837,Quebec
2022-02-18,0,Repatriated Travellers
2022-02-18,0,Saskatchewan
2022-02-18,8,Yukon
2022-02-19,817,Alberta
2022-02-19,631,British Columbia
2022-02-19,0,Manitoba
2022-02-19,0,New Brunswick
2022-02-19,306,Newfoundland and Labrador
2022-02-19,0,Northwest Territories
2022-02-19,200,Nova Scotia
2022-02-19,0,Nunavut
2022-02-19,2244,Ontario
2022-02-19,204,Prince Edward Island
2022-02-19,1736,Quebec
2022-02-19,0,Repatriated Travellers
